"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"T-helper 1 Cell Differentiation (GO:0045063)","2/5",0.00210547295360391,0.0338588034847969,0,0,44.8282138794084,276.285927199675,"SPN;LEF1"
"Chondrocyte Development (GO:0002063)","2/5",0.00210547295360391,0.0338588034847969,0,0,44.8282138794084,276.285927199675,"SULF1;SULF2"
"Positive Regulation Of Cholesterol Storage (GO:0010886)","2/5",0.00210547295360391,0.0338588034847969,0,0,44.8282138794084,276.285927199675,"MSR1;LCP1"
"Positive Regulation Of Toll-Like Receptor 7 Signaling Pathway (GO:0034157)","2/5",0.00210547295360391,0.0338588034847969,0,0,44.8282138794084,276.285927199675,"RSAD2;PTPN22"
"Cellular Response To Lipid (GO:0071396)","10/228",0.00214041232102259,0.0338588034847969,0,0,3.13648800901336,19.2792289822544,"CD86;CXCL10;CXCL11;CXCL9;CARD17P;WNT7B;CD80;ATP1A3;LCP1;CCR5"
"Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730)","6/90",0.00216153936073588,0.0338588034847969,0,0,4.84948096885813,29.7609477637146,"RAP2C;SFRP2;TGFB1;PTPRC;CD80;SAMSN1"
"Regulation Of Lymphocyte Proliferation (GO:0050670)","3/18",0.00219944757177944,0.0338588034847969,0,0,13.486301369863,82.5300827883708,"PTPN22;SOX11;CD22"
"Dendritic Cell Migration (GO:0036336)","3/18",0.00219944757177944,0.0338588034847969,0,0,13.486301369863,82.5300827883708,"CCR1;CXCR4;CCR5"
"Regulation Of Adaptive Immune Response (GO:0002819)","3/18",0.00219944757177944,0.0338588034847969,0,0,13.486301369863,82.5300827883708,"SASH3;IRF7;SAMSN1"
"Lymphocyte Differentiation (GO:0030098)","6/91",0.00228604377629367,0.0348387781728798,0,0,4.79218400162833,29.14094774846,"PTPRC;ITGA4;BLNK;RHOH;PTPN22;MS4A1"
"Cellular Response To Type I Interferon (GO:0071357)","4/38",0.0023066274118209,0.0348387781728798,0,0,7.95269860521528,48.2885379352038,"IFI27;STAT1;OAS2;IFIT1"
"Positive Regulation Of Cell Migration (GO:0030335)","11/272",0.00246934821391339,0.0369479111259377,0,0,2.88548918029248,17.3239029535861,"CCR1;LRRC15;SEMA7A;CCL11;TGFB1;PTPRC;F2R;LEF1;FN1;CCN4;CXCR4"
